variant,question,accuracy
not,t4q4,0.33
not,t1q4,0.33
dis,t3q2,0.33
dis,t1q4,0.33
not,t3q5,0.33
not,t4q4,0.33
dis,t3q5,0.33
dis,t4q5,0.33
not,t4q4,0.33
dis,t1q4,0.33
dis,t1q4,0.33
not,t4q5,0.33
dis,t4q5,0.4
dis,t1q2,0.4
not,t4q5,0.4
not,t4q4,0.4
dis,t1q4,0.4
not,t4q4,0.4
dis,t1q5,0.4
not,t3q5,0.4
not,t1q5,0.4
not,t1q5,0.4
dis,t4q5,0.4
dis,t3q5,0.4
dis,t2q3,0.5
not,t4q5,0.5
dis,t1q5,0.5
dis,t4q2,0.5
not,t1q5,0.5
not,t4q5,0.5
dis,t1q5,0.5
not,t3q1,0.5
not,t4q5,0.5
not,t1q5,0.5
dis,t3q3,0.5
not,t1q5,0.5
dis,t4q5,0.5
not,t4q5,0.5
not,t2q5,0.5
not,t1q5,0.5
not,t3q1,0.5
not,t3q2,0.5
dis,t1q5,0.5
not,t4q5,0.5
dis,t1q5,0.5
not,t4q1,0.5
dis,t1q4,0.5
dis,t1q5,0.5
not,t3q1,0.5
not,t3q5,0.5
dis,t1q4,0.5
dis,t2q3,0.5
dis,t3q5,0.5
dis,t2q5,0.5
not,t3q1,0.5
not,t4q5,0.5
dis,t3q5,0.5
not,t3q5,0.5
not,t4q5,0.5
dis,t3q1,0.5
dis,t4q5,0.5
not,t1q4,0.5
not,t1q5,0.5
dis,t3q5,0.5
not,t1q2,0.5
dis,t3q1,0.5
dis,t1q2,0.5
dis,t2q3,0.5
not,t4q5,0.5
dis,t1q5,0.5
dis,t2q5,0.5
not,t3q1,0.5
dis,t3q3,0.5
dis,t3q3,0.5
dis,t1q2,0.6
not,t3q3,0.6
dis,t3q3,0.6
dis,t4q4,0.6
dis,t2q5,0.6
not,t3q3,0.6
not,t3q5,0.6
not,t3q3,0.6
dis,t3q5,0.6
dis,t2q3,0.6
not,t1q5,0.6
not,t4q5,0.6
not,t1q5,0.6
dis,t3q5,0.6
dis,t3q1,0.6
dis,t3q2,0.6
not,t1q5,0.6
not,t1q4,0.6
dis,t4q4,0.66
dis,t1q4,0.66
not,t3q2,0.66
not,t3q2,0.66
not,t4q4,0.66
not,t1q4,0.66
dis,t3q2,0.66
dis,t3q5,0.66
dis,t4q4,0.66
dis,t4q4,0.66
dis,t1q4,0.66
not,t4q4,0.66
not,t3q2,0.66
not,t4q4,0.66
not,t3q2,0.66
dis,t4q4,0.66
not,t3q2,0.66
not,t4q5,0.66
not,t1q4,0.66
dis,t4q4,0.66
dis,t4q5,0.66
dis,t4q5,0.66
not,t1q4,0.66
dis,t4q4,0.66
dis,t3q2,0.66
dis,t4q4,0.66
dis,t4q5,0.66
dis,t1q4,0.66
not,t4q4,0.66
not,t4q5,0.66
not,t4q4,0.66
not,t4q5,0.66
not,t3q2,0.66
dis,t1q5,0.66
not,t3q2,0.66
not,t1q4,0.66
dis,t4q5,0.66
not,t3q2,0.66
dis,t2q2,0.7
dis,t2q3,0.7
not,t4q4,0.7
not,t3q5,0.7
not,t4q4,0.7
not,t2q3,0.7
not,t4q1,0.7
dis,t2q3,0.7
not,t2q4,0.7
dis,t4q5,0.7
dis,t1q5,0.7
not,t3q2,0.7
not,t4q5,0.7
dis,t1q4,0.7
not,t1q4,0.7
dis,t2q5,0.7
dis,t3q5,0.7
dis,t3q1,0.7
not,t2q5,0.7
not,t1q4,0.7
dis,t4q4,0.7
not,t4q4,0.7
not,t3q2,0.7
not,t4q4,0.7
not,t3q1,0.7
not,t3q2,0.7
dis,t3q5,0.7
dis,t3q2,0.7
dis,t3q5,0.7
dis,t3q1,0.75
not,t3q1,0.75
dis,t3q1,0.75
dis,t4q5,0.75
not,t4q5,0.75
dis,t3q1,0.75
dis,t1q5,0.75
not,t1q5,0.75
not,t3q1,0.75
not,t3q1,0.75
dis,t1q2,0.8
dis,t1q2,0.8
not,t3q1,0.8
not,t1q4,0.8
dis,t3q2,0.8
dis,t4q4,0.8
not,t4q4,0.8
dis,t1q4,0.8
dis,t2q2,0.8
not,t4q4,0.8
not,t3q2,0.8
not,t3q5,0.8
dis,t4q4,0.8
not,t3q5,0.8
not,t4q4,0.8
dis,t2q5,0.8
dis,t3q5,0.8
dis,t3q2,0.8
not,t1q2,0.8
dis,t4q1,0.8
not,t1q4,0.8
dis,t3q1,0.8
dis,t4q4,0.8
not,t1q4,0.8
not,t2q4,0.8
not,t2q5,0.8
dis,t4q4,0.8
dis,t3q2,0.8
dis,t4q4,0.8
dis,t2q1,0.9
dis,t1q1,0.9
dis,t2q3,0.9
dis,t2q2,0.9
not,t1q5,0.9
not,t1q5,0.9
not,t1q3,0.9
not,t1q3,0.9
dis,t3q1,0.9
dis,t3q2,0.9
not,t1q5,0.9
not,t3q4,1
not,t1q1,1
not,t1q2,1
not,t1q3,1
not,t1q4,1
not,t1q5,1
not,t2q1,1
not,t2q2,1
not,t2q3,1
not,t2q5,1
dis,t3q2,1
dis,t3q3,1
dis,t3q4,1
dis,t3q5,1
dis,t4q1,1
dis,t4q2,1
dis,t4q3,1
dis,t4q5,1
dis,t1q2,1
dis,t1q3,1
dis,t1q5,1
dis,t2q1,1
dis,t2q2,1
dis,t2q4,1
dis,t2q5,1
not,t3q1,1
not,t3q3,1
not,t3q4,1
not,t3q5,1
not,t4q1,1
not,t4q2,1
dis,t1q3,1
dis,t2q1,1
dis,t2q2,1
dis,t2q3,1
dis,t2q4,1
dis,t2q5,1
not,t3q1,1
not,t3q3,1
not,t3q5,1
not,t4q1,1
not,t4q2,1
not,t4q5,1
dis,t2q1,1
dis,t2q2,1
dis,t2q3,1
dis,t2q4,1
not,t3q3,1
not,t3q4,1
not,t4q1,1
not,t4q2,1
not,t4q3,1
not,t1q3,1
not,t2q2,1
not,t2q3,1
not,t2q4,1
dis,t3q3,1
dis,t3q4,1
dis,t4q1,1
not,t1q2,1
not,t1q3,1
not,t1q5,1
not,t2q1,1
not,t2q2,1
not,t2q3,1
not,t2q4,1
dis,t3q1,1
dis,t3q3,1
dis,t3q4,1
dis,t4q1,1
dis,t4q2,1
dis,t4q3,1
dis,t4q5,1
not,t1q1,1
not,t1q2,1
not,t1q3,1
not,t1q4,1
not,t2q1,1
not,t2q2,1
not,t2q3,1
dis,t3q1,1
dis,t3q2,1
dis,t3q3,1
dis,t3q4,1
dis,t4q1,1
dis,t4q2,1
dis,t4q3,1
dis,t1q3,1
dis,t2q1,1
dis,t2q2,1
dis,t2q3,1
not,t3q3,1
not,t3q4,1
not,t3q5,1
not,t4q1,1
not,t4q2,1
not,t4q3,1
dis,t1q2,1
dis,t1q3,1
dis,t1q4,1
dis,t1q5,1
dis,t2q1,1
dis,t2q3,1
not,t3q1,1
not,t3q4,1
not,t4q2,1
not,t4q3,1
dis,t1q3,1
dis,t2q1,1
dis,t2q2,1
dis,t2q3,1
dis,t2q4,1
dis,t2q5,1
not,t3q3,1
not,t3q4,1
not,t4q1,1
not,t4q2,1
not,t4q3,1
not,t1q1,1
not,t1q2,1
not,t1q3,1
not,t2q1,1
not,t2q2,1
not,t2q3,1
not,t2q4,1
not,t2q5,1
dis,t3q4,1
dis,t3q5,1
dis,t4q1,1
dis,t4q2,1
dis,t4q3,1
dis,t4q4,1
dis,t4q5,1
not,t1q2,1
not,t1q3,1
not,t2q2,1
not,t2q4,1
not,t2q5,1
dis,t3q1,1
dis,t3q4,1
dis,t4q2,1
dis,t1q1,1
dis,t1q2,1
dis,t2q1,1
dis,t2q2,1
dis,t2q3,1
dis,t2q4,1
dis,t2q5,1
not,t3q1,1
not,t3q2,1
not,t3q3,1
not,t3q5,1
not,t4q1,1
not,t4q2,1
not,t4q3,1
not,t4q4,1
dis,t1q1,1
dis,t1q3,1
dis,t1q4,1
dis,t2q1,1
dis,t2q2,1
dis,t2q3,1
dis,t2q4,1
not,t3q1,1
not,t3q4,1
not,t4q1,1
not,t4q2,1
not,t4q3,1
not,t1q1,1
not,t1q3,1
not,t1q5,1
not,t2q1,1
not,t2q2,1
not,t2q3,1
not,t2q4,1
dis,t3q1,1
dis,t3q2,1
dis,t3q3,1
dis,t3q4,1
dis,t4q1,1
dis,t4q2,1
dis,t4q3,1
not,t1q1,1
not,t1q3,1
not,t1q4,1
not,t1q5,1
not,t2q2,1
not,t2q3,1
dis,t3q1,1
dis,t3q2,1
dis,t3q3,1
dis,t3q4,1
dis,t4q1,1
dis,t4q2,1
dis,t4q3,1
dis,t4q4,1
not,t1q1,1
not,t1q2,1
not,t1q3,1
not,t2q1,1
not,t2q3,1
not,t2q4,1
not,t2q5,1
dis,t3q1,1
dis,t3q2,1
dis,t3q4,1
dis,t3q5,1
dis,t4q2,1
not,t1q1,1
not,t1q2,1
not,t1q3,1
not,t1q4,1
not,t2q1,1
not,t2q2,1
not,t2q3,1
not,t2q4,1
dis,t3q1,1
dis,t3q3,1
dis,t3q4,1
dis,t3q5,1
dis,t4q1,1
dis,t4q2,1
dis,t4q3,1
dis,t1q1,1
dis,t1q2,1
dis,t1q3,1
dis,t2q1,1
dis,t2q2,1
dis,t2q3,1
dis,t2q4,1
dis,t2q5,1
not,t3q3,1
not,t3q4,1
not,t3q5,1
not,t4q1,1
not,t4q2,1
not,t4q3,1
dis,t1q1,1
dis,t1q2,1
dis,t1q3,1
dis,t1q4,1
dis,t2q1,1
dis,t2q2,1
dis,t2q3,1
dis,t2q4,1
not,t3q1,1
not,t3q2,1
not,t3q3,1
not,t3q4,1
not,t3q5,1
not,t4q1,1
not,t4q2,1
not,t4q3,1
dis,t1q3,1
dis,t1q5,1
dis,t2q1,1
dis,t2q2,1
not,t3q1,1
not,t3q3,1
not,t3q4,1
not,t4q1,1
not,t4q2,1
not,t4q3,1
dis,t1q1,1
dis,t1q3,1
dis,t1q4,1
dis,t2q1,1
dis,t2q2,1
dis,t2q3,1
dis,t2q4,1
dis,t2q5,1
not,t3q1,1
not,t3q2,1
not,t3q3,1
not,t3q4,1
not,t3q5,1
not,t4q1,1
not,t4q2,1
not,t4q3,1
not,t4q4,1
dis,t1q2,1
dis,t1q3,1
dis,t2q1,1
dis,t2q2,1
dis,t2q3,1
dis,t2q5,1
not,t3q3,1
not,t3q4,1
not,t4q2,1
not,t4q3,1
not,t4q4,1
not,t1q1,1
not,t1q2,1
not,t1q3,1
not,t1q5,1
not,t2q1,1
not,t2q2,1
not,t2q3,1
not,t2q4,1
not,t2q5,1
dis,t3q1,1
dis,t3q2,1
dis,t3q3,1
dis,t3q4,1
dis,t3q5,1
dis,t4q1,1
dis,t4q2,1
dis,t4q4,1
dis,t1q1,1
dis,t1q2,1
dis,t1q3,1
dis,t2q1,1
dis,t2q3,1
not,t3q3,1
not,t4q1,1
not,t4q2,1
not,t4q3,1
not,t4q4,1
dis,t1q2,1
dis,t1q3,1
dis,t2q1,1
dis,t2q5,1
not,t4q1,1
not,t4q2,1
not,t4q3,1
dis,t1q5,1
dis,t2q2,1
dis,t2q5,1
not,t3q2,1
not,t3q4,1
not,t4q1,1
not,t4q2,1
not,t4q3,1
not,t1q2,1
not,t2q1,1
not,t2q5,1
dis,t3q1,1
dis,t3q4,1
dis,t4q1,1
dis,t4q2,1
dis,t4q3,1
dis,t4q5,1
dis,t1q1,1
dis,t1q3,1
dis,t2q1,1
dis,t2q4,1
not,t3q1,1
not,t3q4,1
not,t4q2,1
not,t4q3,1
dis,t1q2,1
dis,t1q3,1
dis,t2q1,1
not,t4q2,1
not,t1q1,1
not,t1q2,1
not,t1q3,1
not,t2q1,1
not,t2q2,1
not,t2q3,1
not,t2q5,1
dis,t3q1,1
dis,t3q4,1
dis,t4q1,1
dis,t4q2,1
dis,t4q3,1
dis,t1q1,1
dis,t1q2,1
dis,t1q4,1
dis,t2q2,1
not,t3q2,1
not,t3q3,1
not,t3q4,1
not,t4q1,1
not,t4q2,1
not,t4q3,1
not,t4q5,1
dis,t1q1,1
dis,t1q2,1
dis,t1q3,1
dis,t2q1,1
dis,t2q5,1
not,t3q1,1
not,t4q1,1
not,t4q3,1
dis,t1q2,1
dis,t1q3,1
dis,t2q1,1
not,t4q1,1
not,t4q2,1
not,t4q3,1
not,t1q1,1
not,t1q2,1
not,t1q3,1
not,t2q1,1
dis,t3q1,1
dis,t3q2,1
dis,t3q3,1
dis,t3q4,1
dis,t4q1,1
dis,t4q2,1
dis,t4q3,1
dis,t1q1,1
dis,t1q2,1
dis,t1q3,1
dis,t1q4,1
dis,t1q5,1
dis,t2q1,1
dis,t2q2,1
not,t3q1,1
not,t3q2,1
not,t3q3,1
not,t3q4,1
not,t4q1,1
not,t4q2,1
not,t4q3,1
dis,t1q1,1
dis,t1q2,1
dis,t1q3,1
dis,t1q4,1
dis,t1q5,1
dis,t2q1,1
dis,t2q2,1
dis,t2q4,1
not,t3q1,1
not,t3q2,1
not,t3q3,1
not,t3q4,1
not,t4q1,1
not,t4q2,1
not,t4q3,1
not,t4q4,1
not,t1q2,1
not,t2q3,1
dis,t3q4,1
dis,t4q1,1
dis,t4q2,1
dis,t4q3,1
not,t1q1,1
not,t1q2,1
not,t1q3,1
not,t2q1,1
not,t2q3,1
not,t2q5,1
dis,t3q2,1
dis,t4q1,1
dis,t4q2,1
not,t1q1,1
not,t1q2,1
not,t2q1,1
not,t2q2,1
not,t2q3,1
not,t2q4,1
dis,t3q3,1
dis,t3q4,1
dis,t4q1,1
dis,t4q2,1
not,t1q1,1
not,t1q2,1
not,t1q3,1
dis,t3q1,1
dis,t3q4,1
not,t1q1,1
not,t2q1,1
not,t2q2,1
not,t2q3,1
not,t2q4,1
not,t2q5,1
dis,t4q1,1
dis,t4q2,1
dis,t4q3,1
dis,t4q5,1
not,t2q1,1
not,t2q5,1
dis,t4q1,1
dis,t4q2,1
dis,t4q3,1
dis,t1q1,1
dis,t2q1,1
dis,t2q4,1
not,t3q1,1
not,t4q1,1
not,t4q2,1
not,t4q3,1
dis,t1q1,1
dis,t1q2,1
dis,t1q3,1
dis,t2q1,1
dis,t2q2,1
dis,t2q4,1
not,t3q4,1
not,t3q5,1
not,t4q1,1
not,t4q2,1
dis,t1q1,1
dis,t1q2,1
dis,t1q3,1
dis,t2q1,1
dis,t2q2,1
dis,t2q4,1
not,t3q2,1
not,t3q3,1
not,t3q4,1
not,t3q5,1
not,t4q1,1
not,t4q2,1
not,t4q3,1
dis,t1q3,1
dis,t2q1,1
dis,t2q2,1
dis,t2q4,1
dis,t2q5,1
not,t3q1,1
not,t3q4,1
not,t4q1,1
not,t4q2,1
not,t4q3,1
not,t1q1,1
not,t1q3,1
not,t1q4,1
not,t2q1,1
not,t2q2,1
not,t2q3,1
not,t2q4,1
not,t2q5,1
dis,t3q1,1
dis,t3q2,1
dis,t3q4,1
dis,t4q2,1
dis,t4q3,1
dis,t4q4,1
dis,t4q5,1
not,t1q1,1
not,t1q2,1
not,t2q1,1
not,t2q2,1
not,t2q3,1
not,t2q4,1
not,t2q5,1
dis,t3q4,1
dis,t4q1,1
dis,t4q2,1
dis,t4q3,1
dis,t4q5,1
not,t1q1,1
not,t1q2,1
not,t2q1,1
not,t2q2,1
not,t2q3,1
not,t2q5,1
dis,t3q1,1
dis,t3q2,1
dis,t3q5,1
dis,t4q1,1
dis,t4q2,1
dis,t4q3,1
dis,t4q4,1
dis,t4q5,1
not,t1q1,1
not,t1q4,1
not,t1q5,1
not,t2q1,1
not,t2q3,1
not,t2q4,1
dis,t3q4,1
dis,t4q1,1
dis,t4q2,1
dis,t4q3,1
dis,t4q5,1
not,t1q1,1
not,t1q2,1
not,t1q3,1
not,t2q1,1
not,t2q2,1
not,t2q3,1
not,t2q4,1
not,t2q5,1
dis,t3q1,1
dis,t3q3,1
dis,t3q4,1
dis,t3q5,1
dis,t4q1,1
dis,t4q2,1
dis,t4q3,1
dis,t4q5,1
